"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EndPoint Pessoa","DELETE Pessoa error","","0","0","1","0","0"
"EndPoint Contato","PUT Contato error","","0","0","1","0","0"
"EndPoint Endereco","DELETE Endereco error","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por idEndereco","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa relatorio error","","0","0","1","0","0"
"EndPoint Contato","DELETE Contato error","","0","0","1","0","0"
"EndPoint Pessoa","DELETE Pessoa","","0","0","1","0","0"
"Contratos","GET Pessoa Contato","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa relatorio","","0","0","1","0","0"
"EndPoint Pessoa","PUT Pessoa","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa contato","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa por cpf","","0","0","1","0","0"
"EndPoint Endereco","POST Endereco error","","0","0","1","0","0"
"EndPoint Contato","DELETE Contato","","0","0","1","0","0"
"Contratos","GET Pessoa Relatorio","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por pais error","","0","0","1","0","0"
"Contratos","GET Pessoas","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa endereco","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa por nome","","0","0","1","0","0"
"EndPoint Contato","PUT Contato","","0","0","1","0","0"
"EndPoint Pessoa","POST Pessoa","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por pais","","0","0","1","0","0"
"EndPoint Pessoa","GET  endereco error","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa","","0","0","1","0","0"
"EndPoint Pessoa","PUT Pessoa error","","0","0","1","0","0"
"EndPoint Contato","GET Contato por ID","","0","0","1","0","0"
"EndPoint Pessoa","POST Pessoa error","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa por nome error","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa contato error","","0","0","1","0","0"
"EndPoint Contato","POST Contato error","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por idEndereco error","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa completa","","0","0","1","0","0"
"Contratos","GET Endereco por pais","","0","0","1","0","0"
"EndPoint Endereco","POST Endereco","","0","0","1","0","0"
"Contratos","GET Pessoa Completa","","0","0","1","0","0"
"EndPoint Contato","GET Contatos","","0","0","1","0","0"
"Contratos","GET Endereco por IdPessoa","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa completa error","","0","0","1","0","0"
"Contratos","GET Pessoa Enderece","","0","0","1","0","0"
"EndPoint Contato","POST Contato","","0","0","1","0","0"
"EndPoint Endereco","DELETE Endereco","","0","0","1","0","0"
"EndPoint Pessoa","GET Pessoa por cpf error","","0","0","1","0","0"
"Contratos","GET Pessoa By Name","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por IdPessoa","","0","0","1","0","0"
"Contratos","GET Endereco por IdEnderesso","","0","0","1","0","0"
"EndPoint Endereco","GET Endereco por IdPessoa error","","0","0","1","0","0"
"Contratos","GET Contatos","","0","0","1","0","0"
"Contratos","GET Enderecos","","0","0","1","0","0"
"EndPoint Contato","GET Contato por ID error","","0","0","1","0","0"
"Contratos","GET Contato por IdPessoa","","0","0","1","0","0"
